City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Doembang Nangbuat,TH,83.05,clear sky,14.8333,100.1,ธาราริน วิลล่า
363,Sao Joao Da Barra,BR,76.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
366,Sitrah,BH,77.0,clear sky,26.1547,50.6206,Al Bander Resort
367,Ankazoabo,MG,72.64,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
368,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
369,Clovis,US,68.04,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
370,Zogno,IT,55.85,broken clouds,45.7919,9.6562,da Gianni Ristorante Hotel
371,Sorong,ID,77.58,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
372,Hithadhoo,MV,84.36,overcast clouds,-0.6,73.0833,Scoop Guest House
373,Karimnagar,IN,82.69,broken clouds,18.4333,79.15,OYO 64335 Brundavanam Resort
374,Sinnamary,GF,75.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
375,Karpathos,GR,58.96,clear sky,35.507,27.2132,Alex
378,Ardakan,IR,67.14,broken clouds,32.31,54.0175,Ardakan Hotel
379,Saint George,US,56.62,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
380,Bandarbeyla,SO,81.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
381,Nueva Loja,EC,71.87,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
382,La Ferte-Bernard,FR,55.02,broken clouds,48.1863,0.6536,Brit Hotel La Ferté-Bernard
385,Brownsville,US,84.2,dust,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
387,Mahibadhoo,MV,82.71,overcast clouds,3.7833,72.9667,Omadhoo Inn
388,Kampong Chhnang,KH,81.37,few clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
389,Balkhash,KZ,50.45,overcast clouds,46.844,74.9804,Family
394,Kamaishi,JP,58.68,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
396,Marsa Matruh,EG,57.4,clear sky,31.3525,27.2453,Beau Site
397,Liberal,US,82.54,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
399,Chimore,BO,76.66,overcast clouds,-16.9833,-65.1333,Bichito
401,Yulara,AU,64.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
402,Acapetahua,MX,84.49,scattered clouds,15.2833,-92.7,Hotel Carmen
404,Guanare,VE,71.62,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
