City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Digras,IN,2022-04-22 18:09:19,20.1167,77.7167,93.47,20,24,3.71
211,Lorengau,PG,2022-04-22 18:09:20,-2.0226,147.2712,81.91,77,100,7.2
212,Ancud,CL,2022-04-22 18:09:20,-41.8697,-73.8203,54.23,92,100,15.64
213,Wajir,KE,2022-04-22 18:09:21,1.7471,40.0573,80.67,75,100,5.84
214,Tandalti,SD,2022-04-22 18:09:21,13.0167,31.8667,91.36,16,68,4.47
215,Svetlogorsk,BY,2022-04-22 18:09:22,52.6333,29.7333,43.7,93,100,11.41
216,Vila Velha,BR,2022-04-22 18:09:22,-20.3297,-40.2925,93.15,49,20,11.5
217,Excelsior Springs,US,2022-04-22 18:09:23,39.3392,-94.2261,82.74,53,100,14.97
218,Mongu,ZM,2022-04-22 18:09:23,-15.2484,23.1274,67.37,62,4,5.23
219,Mogocha,RU,2022-04-22 18:09:24,53.7333,119.7667,22.06,61,0,2.84
220,Yongan,CN,2022-04-22 18:09:24,39.6957,113.6871,52.45,22,5,7.58
221,Banda Aceh,ID,2022-04-22 18:09:24,5.5577,95.3222,81.18,79,100,5.46
222,Lagunas,PE,2022-04-22 18:09:25,-5.2269,-75.6753,90.88,49,57,2.19
223,Eyl,SO,2022-04-22 18:05:47,7.9803,49.8164,82.83,74,37,10.65
224,Ketchikan,US,2022-04-22 18:10:26,55.3422,-131.6461,46.87,71,40,9.22
225,Staffanstorp,SE,2022-04-22 18:10:26,55.6428,13.2064,53.87,57,0,19.57
226,Aizkraukle,LV,2022-04-22 18:10:27,56.6048,25.2553,49.08,59,34,4.65
227,Wencheng,CN,2022-04-22 18:10:27,33.0559,113.7978,59.09,45,99,6.08
228,Port Macquarie,AU,2022-04-22 18:10:28,-31.4333,152.9167,59.9,85,73,7.67
229,Urengoy,RU,2022-04-22 18:10:28,65.9667,78.3667,1.78,100,84,8.5
230,Myitkyina,MM,2022-04-22 18:10:29,25.3833,97.4,74.97,59,30,2.98
231,Hasaki,JP,2022-04-22 18:10:29,35.7333,140.8333,63.28,89,32,5.48
232,Lasa,IT,2022-04-22 18:02:06,46.6166,10.7002,49.37,95,98,0.54
233,Lagoa,PT,2022-04-22 18:10:30,39.05,-27.9833,56.26,67,86,13.87
234,Kang,BW,2022-04-22 18:10:30,-23.6752,22.7876,69.06,53,100,6.42
235,Paciran,ID,2022-04-22 18:10:31,-6.8767,112.3761,80.22,86,100,5.14
236,Arraial Do Cabo,BR,2022-04-22 18:00:59,-22.9661,-42.0278,76.78,74,0,4.63
237,Tura,IN,2022-04-22 18:10:09,25.5198,90.2201,71.58,94,10,7.38
238,Iquique,CL,2022-04-22 18:10:32,-20.2208,-70.1431,68.04,72,9,9.64
239,Kasongo-Lunda,CD,2022-04-22 18:10:32,-6.4667,16.8167,73.24,94,97,1.07
240,Ahipara,NZ,2022-04-22 18:10:33,-35.1667,173.1667,62.28,61,11,19.57
241,Garowe,SO,2022-04-22 18:10:33,8.4054,48.4845,82.09,57,85,18.01
242,Teknaf,BD,2022-04-22 18:10:34,20.8624,92.3058,80.01,83,1,2.3
243,Vao,NC,2022-04-22 18:00:51,-22.6667,167.4833,74.93,67,86,14.65
244,Khatanga,RU,2022-04-22 18:00:56,71.9667,102.5,-5.08,100,56,6.33
245,Karymskoye,RU,2022-04-22 18:10:34,51.6167,114.35,34.75,64,100,9.6
246,Salalah,OM,2022-04-22 18:10:35,17.0151,54.0924,82.49,78,20,4.61
247,Otane,NZ,2022-04-22 18:10:35,-39.8833,176.6333,47.01,78,32,7.45
248,Tampin,MY,2022-04-22 18:10:36,2.4701,102.2302,75.9,95,50,4.43
249,Maceio,BR,2022-04-22 18:10:36,-9.6658,-35.7353,83.64,69,40,10.36
250,Erzin,TR,2022-04-22 18:10:36,36.9559,36.2,67.24,52,0,3.4
251,Skjervoy,NO,2022-04-22 18:10:37,70.0311,20.9714,37.4,73,100,15.12
252,Krasnoselkup,RU,2022-04-22 18:10:37,65.7,82.4667,6.03,90,91,11.54
253,Ambon,ID,2022-04-22 18:08:19,-3.6954,128.1814,81.25,82,94,5.5
254,Muscat,OM,2022-04-22 18:09:39,23.6139,58.5922,87.82,52,49,10.18
255,Sakaiminato,JP,2022-04-22 18:10:38,35.55,133.2333,60.26,71,100,10.65
256,Viytivka,UA,2022-04-22 18:10:39,48.426,29.5429,50.97,72,91,17.96
257,Kolyshley,RU,2022-04-22 18:10:39,52.7005,44.5367,46.8,66,100,8.84
258,Sri Aman,MY,2022-04-22 18:10:39,1.2376,111.4621,72.21,94,96,1.05
259,Inirida,CO,2022-04-22 18:10:40,3.8653,-67.9239,86.59,61,50,3.89
260,Skeldon,GY,2022-04-22 18:10:40,5.8833,-57.1333,82.31,74,80,5.77
261,Te Anau,NZ,2022-04-22 18:10:41,-45.4167,167.7167,44.67,86,81,3.06
262,Korla,CN,2022-04-22 18:00:29,41.7597,86.1469,64.54,22,59,1.57
263,Berlevag,NO,2022-04-22 18:10:41,70.8578,29.0864,37.2,98,95,13.04
264,Bathsheba,BB,2022-04-22 18:10:42,13.2167,-59.5167,86.61,54,20,17.27
265,Yerbogachen,RU,2022-04-22 18:10:42,61.2767,108.0108,15.93,98,48,3.36
266,Ribeira Grande,PT,2022-04-22 18:10:43,38.5167,-28.7,61.2,55,75,13.8
267,Bitung,ID,2022-04-22 18:10:43,1.4451,125.1824,76.05,80,89,2.42
268,Bilibino,RU,2022-04-22 18:10:44,68.0546,166.4372,4.42,99,98,2.15
269,Ozark,US,2022-04-22 18:10:44,37.0209,-93.206,81.28,52,0,8.01
270,Mount Isa,AU,2022-04-22 18:02:08,-20.7333,139.5,69.57,83,100,13.8
271,Jasper,US,2022-04-22 18:11:45,37.2001,-94.3502,81.45,54,40,29.93
272,Kupang,ID,2022-04-22 18:11:45,-10.1667,123.5833,78.28,84,92,7.34
273,Caravelas,BR,2022-04-22 18:11:46,-17.7125,-39.2481,83.14,53,1,8.55
274,Coquimbo,CL,2022-04-22 18:10:06,-29.9533,-71.3436,62.33,72,0,13.8
275,Buraydah,SA,2022-04-22 18:11:46,26.326,43.975,84.58,14,78,14.61
276,Canutama,BR,2022-04-22 18:11:47,-6.5339,-64.3831,89.67,50,97,2.39
277,Qaqortoq,GL,2022-04-22 18:11:47,60.7167,-46.0333,37.47,78,95,2.82
278,Hirara,JP,2022-04-22 18:11:48,24.8,125.2833,76.69,91,100,16.04
279,Gerash,IR,2022-04-22 18:11:48,27.6652,54.1371,77.99,19,97,5.73
280,Obo,CF,2022-04-22 18:11:49,5.3998,26.4869,72.86,76,55,3.87
281,Mackay,AU,2022-04-22 18:07:44,-21.15,149.2,72.68,85,100,18.97
282,Praia Da Vitoria,PT,2022-04-22 18:11:49,38.7333,-27.0667,60.76,67,75,15.77
283,Asfi,MA,2022-04-22 18:11:50,32.2994,-9.2372,62.33,78,5,22.7
284,Vila Franca Do Campo,PT,2022-04-22 18:11:50,37.7167,-25.4333,61.21,63,87,13.56
